80D4F6 20 30 D5    JSR $D530     [80D530] A:0E01 X:0000 Y:00BB S:0133 D:0E68 DB:86 nvMXdizC V:247 H:172 F:10
								849188 65 04       ADC $04       [000004] A:0008 X:0E68 Y:CFB8 S:0118 D:0000 DB:86 nvmxdizc V:250 H:223 F:10
								84918A 85 06       STA $06       [000006] A:00C8 X:0E68 Y:CFB8 S:0118 D:0000 DB:86 nvmxdizc V:250 H:230 F:10
								84918C A5 00       LDA $00       [000000] A:00C8 X:0E68 Y:CFB8 S:0118 D:0000 DB:86 nvmxdizc V:250 H:237 F:10
								84918E EB          XBA                    A:1D44 X:0E68 Y:CFB8 S:0118 D:0000 DB:86 nvmxdizc V:250 H:244 F:10
								84918F 29 1F 00    AND #$001F             A:441D X:0E68 Y:CFB8 S:0118 D:0000 DB:86 nvmxdizc V:250 H:248 F:10
								849192 85 04       STA $04       [000004] A:001D X:0E68 Y:CFB8 S:0118 D:0000 DB:86 nvmxdizc V:250 H:253 F:10
								849194 A5 02       LDA $02       [000002] A:001D X:0E68 Y:CFB8 S:0118 D:0000 DB:86 nvmxdizc V:250 H:260 F:10
								849196 29 00 1F    AND #$1F00             A:0367 X:0E68 Y:CFB8 S:0118 D:0000 DB:86 nvmxdizc V:250 H:267 F:10
								849199 4A          LSR A                  A:0300 X:0E68 Y:CFB8 S:0118 D:0000 DB:86 nvmxdizc V:250 H:271 F:10
								84919A 4A          LSR A                  A:0180 X:0E68 Y:CFB8 S:0118 D:0000 DB:86 nvmxdizc V:250 H:274 F:10
								84919B 4A          LSR A                  A:00C0 X:0E68 Y:CFB8 S:0118 D:0000 DB:86 nvmxdizc V:250 H:277 F:10
								84919C 18          CLC                    A:0060 X:0E68 Y:CFB8 S:0118 D:0000 DB:86 nvmxdizc V:250 H:280 F:10
