80D4F6 20 30 D5    JSR $D530     [80D530] A:0E01 X:0000 Y:00BC S:0133 D:0E68 DB:86 nvMXdizC V:247 H:212 F:55
							8490F6 20 6A 91    JSR $916A     [84916A] A:000F X:0E68 Y:CFD1 S:011B D:0000 DB:86 nvmxdizC V:249 H:327 F:55

								84916A A9 00 E8    LDA #$E800             A:000F X:0E68 Y:CFD1 S:0119 D:0000 DB:86 nvmxdizC V:249 H:336 F:55
								84916D 85 10       STA $10       [000010] A:E800 X:0E68 Y:CFD1 S:0119 D:0000 DB:86 NvmxdizC V:250 H:  1 F:55
								84916F A9 7E 00    LDA #$007E             A:E800 X:0E68 Y:CFD1 S:0119 D:0000 DB:86 NvmxdizC V:250 H:  8 F:55
								849172 85 12       STA $12       [000012] A:007E X:0E68 Y:CFD1 S:0119 D:0000 DB:86 nvmxdizC V:250 H: 12 F:55
								849174 A5 02       LDA $02       [000002] A:007E X:0E68 Y:CFD1 S:0119 D:0000 DB:86 nvmxdizC V:250 H: 19 F:55
								849176 29 F0 00    AND #$00F0             A:039E X:0E68 Y:CFD1 S:0119 D:0000 DB:86 nvmxdizC V:250 H: 26 F:55
								849179 0A          ASL A                  A:0090 X:0E68 Y:CFD1 S:0119 D:0000 DB:86 nvmxdizC V:250 H: 31 F:55
								84917A 85 04       STA $04       [000004] A:0120 X:0E68 Y:CFD1 S:0119 D:0000 DB:86 nvmxdizc V:250 H: 34 F:55
								84917C A5 00       LDA $00       [000000] A:0120 X:0E68 Y:CFD1 S:0119 D:0000 DB:86 nvmxdizc V:250 H: 41 F:55
								84917E 29 FF 00    AND #$00FF             A:1DF0 X:0E68 Y:CFD1 S:0119 D:0000 DB:86 nvmxdizc V:250 H: 48 F:55
								849181 4A          LSR A                  A:00F0 X:0E68 Y:CFD1 S:0119 D:0000 DB:86 nvmxdizc V:250 H: 52 F:55
								849182 4A          LSR A                  A:0078 X:0E68 Y:CFD1 S:0119 D:0000 DB:86 nvmxdizc V:250 H: 55 F:55
								849183 4A          LSR A                  A:003C X:0E68 Y:CFD1 S:0119 D:0000 DB:86 nvmxdizc V:250 H: 58 F:55
								849184 29 FE FF    AND #$FFFE             A:001E X:0E68 Y:CFD1 S:0119 D:0000 DB:86 nvmxdizc V:250 H: 61 F:55
