80D4F6 20 30 D5    JSR $D530     [80D530] A:0E01 X:0000 Y:009B S:0133 D:0E68 DB:86 nvMXdizC V:247 H:163 F:14
				8490D6 75 08       ADC $08,X     [000E70] A:FF02 X:0E68 Y:C58D S:011B D:0000 DB:86 nvMxdizc V:249 H: 90 F:14
				8490D8 85 02       STA $02       [000002] A:FFAA X:0E68 Y:C58D S:011B D:0000 DB:86 NvMxdizc V:249 H: 96 F:14
				8490DA 29 F0       AND #$F0               A:FFAA X:0E68 Y:C58D S:011B D:0000 DB:86 NvMxdizc V:249 H:101 F:14
				8490DC 85 0A       STA $0A       [00000A] A:FFA0 X:0E68 Y:C58D S:011B D:0000 DB:86 NvMxdizc V:249 H:104 F:14
				8490DE B5 09       LDA $09,X     [000E71] A:FFA0 X:0E68 Y:C58D S:011B D:0000 DB:86 NvMxdizc V:249 H:109 F:14
				8490E0 65 03       ADC $03       [000003] A:FF00 X:0E68 Y:C58D S:011B D:0000 DB:86 nvMxdiZc V:249 H:116 F:14
				8490E2 85 03       STA $03       [000003] A:FF00 X:0E68 Y:C58D S:011B D:0000 DB:86 nvMxdiZc V:249 H:121 F:14
				8490E4 85 0B       STA $0B       [00000B] A:FF00 X:0E68 Y:C58D S:011B D:0000 DB:86 nvMxdiZc V:249 H:126 F:14
				8490E6 A5 00       LDA $00       [000000] A:FF00 X:0E68 Y:C58D S:011B D:0000 DB:86 nvMxdiZc V:249 H:131 F:14
				8490E8 29 0F       AND #$0F               A:FF61 X:0E68 Y:C58D S:011B D:0000 DB:86 nvMxdizc V:249 H:146 F:14
				8490EA 1A          INC                    A:FF01 X:0E68 Y:C58D S:011B D:0000 DB:86 nvMxdizc V:249 H:149 F:14
				8490EB 85 0C       STA $0C       [00000C] A:FF02 X:0E68 Y:C58D S:011B D:0000 DB:86 nvMxdizc V:249 H:152 F:14
				8490ED A5 02       LDA $02       [000002] A:FF02 X:0E68 Y:C58D S:011B D:0000 DB:86 nvMxdizc V:249 H:157 F:14
				8490EF 29 0F       AND #$0F               A:FFAA X:0E68 Y:C58D S:011B D:0000 DB:86 NvMxdizc V:249 H:162 F:14
				8490F1 1A          INC                    A:FF0A X:0E68 Y:C58D S:011B D:0000 DB:86 nvMxdizc V:249 H:165 F:14
				8490F2 85 0E       STA $0E       [00000E] A:FF0B X:0E68 Y:C58D S:011B D:0000 DB:86 nvMxdizc V:249 H:168 F:14
				8490F4 C2 20       REP #$20               A:FF0B X:0E68 Y:C58D S:011B D:0000 DB:86 nvMxdizc V:249 H:173 F:14
				8490F6 20 6A 91    JSR $916A     [84916A] A:FF0B X:0E68 Y:C58D S:011B D:0000 DB:86 nvmxdizc V:249 H:177 F:14

				84916A A9 00 E8    LDA #$E800             A:FF0B X:0E68 Y:C58D S:0119 D:0000 DB:86 nvmxdizc V:249 H:187 F:14
				84916D 85 10       STA $10       [000010] A:E800 X:0E68 Y:C58D S:0119 D:0000 DB:86 Nvmxdizc V:249 H:192 F:14
				84916F A9 7E 00    LDA #$007E             A:E800 X:0E68 Y:C58D S:0119 D:0000 DB:86 Nvmxdizc V:249 H:199 F:14
				849172 85 12       STA $12       [000012] A:007E X:0E68 Y:C58D S:0119 D:0000 DB:86 nvmxdizc V:249 H:203 F:14
				849174 A5 02       LDA $02       [000002] A:007E X:0E68 Y:C58D S:0119 D:0000 DB:86 nvmxdizc V:249 H:210 F:14
				849176 29 F0 00    AND #$00F0             A:00AA X:0E68 Y:C58D S:0119 D:0000 DB:86 nvmxdizc V:249 H:217 F:14
				849179 0A          ASL A                  A:00A0 X:0E68 Y:C58D S:0119 D:0000 DB:86 nvmxdizc V:249 H:222 F:14
				84917A 85 04       STA $04       [000004] A:0140 X:0E68 Y:C58D S:0119 D:0000 DB:86 nvmxdizc V:249 H:225 F:14
